29,y,y,y,y,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,m,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,y,n,n,y,n,n,y,n,n,n,y,n,n,n,y,n,y,n
30,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
31,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,m,y,y,n,y,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n
32,y,y,y,y,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,y,y,n,n,n,y,m,y,n,y,n,n,y,y,n,n,n,y,n,n,y,n,y,n,y,n,n,n,n,n,y,n,n,n,y,n,y,y
33,y,y,y,y,y,y,y,y,n,n,y,y,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,y,y,n,y,y,m,n,y,n,n,y,y,n,n,n,y,y,n,y,n,y,y,y,n,n,n,n,n,y,n,n,y,y,n,y,y
34,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
35,y,y,y,y,y,n,y,y,n,n,y,n,n,n,n,y,n,y,n,n,y,n,n,n,n,y,y,y,y,n,y,y,y,n,m,n,n,y,n,n,n,n,y,n,n,y,n,y,n,y,n,n,n,n,y,y,n,n,y,y,n,y,y
36,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n
37,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
38,y,y,y,y,y,y,y,y,n,y,y,y,n,n,n,y,y,y,n,n,y,n,n,n,y,y,y,y,y,n,y,y,y,n,y,n,n,m,y,n,y,y,y,y,y,y,n,y,y,y,n,n,n,n,y,y,y,n,y,y,y,y,y
39,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,y,y,y,n,n,n,n,y,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n
40,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
41,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,m,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
42,y,y,n,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,m,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,y,n
43,y,y,y,y,y,n,y,y,n,n,y,n,n,n,n,y,y,y,n,n,y,n,n,n,n,n,n,y,n,n,n,y,y,n,y,n,n,y,n,n,n,n,m,y,n,y,n,n,y,y,n,y,n,n,n,y,n,y,y,y,n,y,y
44,y,y,y,y,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,y,m,y,n,n,n,n,y,n,n,n,n,n,y,n,n,n,y,y,y,n
45,n,n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,m,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n
46,y,y,y,y,y,y,y,y,n,n,y,n,n,n,n,y,y,y,n,y,y,n,n,n,y,n,n,n,y,n,y,y,y,n,y,n,n,y,n,n,n,y,y,n,n,m,n,y,y,y,n,n,n,n,n,y,y,n,n,y,n,y,y
47,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,m,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
48,y,y,n,y,y,n,y,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,n,m,y,y,y,n,n,n,n,y,n,n,n,n,n,y,n
